age,'workclass','fnlwgt','education','education-num','marital-status','occupation','relationship','race','sex','capital-gain','capital-loss','hours-per-week','native-country','income'
23,'Private',309580,'Masters',14,'Never-married','Prof-specialty','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
60,'Private',251572,'HS-grad',9,'Widowed','Prof-specialty','Not-in-family','White','Male',0,0,35,'Poland','<=50K'
56,'Self-emp-not-inc',236731,'1st-4th',2,'Separated','Exec-managerial','Not-in-family','White','Male',0,0,25,'United-States','<=50K'
28,'Private',157813,'11th',7,'Divorced','Prof-specialty','Unmarried','White','Female',0,0,58,'Canada','<=50K'
55,'Self-emp-inc',67433,'HS-grad',9,'Married-civ-spouse','Exec-managerial','Husband','White','Male',0,0,60,'United-States','<=50K'
70,'Private',293076,'Some-college',10,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,30,'United-States','<=50K'
23,'Private',125525,'Bachelors',13,'Never-married','Prof-specialty','Own-child','White','Male',0,0,42,'United-States','<=50K'
24,'Private',228649,'Bachelors',13,'Never-married','Adm-clerical','Own-child','White','Male',0,0,38,'United-States','<=50K'
27,'Private',170017,'Bachelors',13,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,40,'United-States','<=50K'
18,'Private',401051,'10th',6,'Never-married','Sales','Own-child','White','Female',0,0,35,'United-States','<=50K'
48,'Private',152915,'Some-college',10,'Never-married','Adm-clerical','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
38,'Private',175232,'HS-grad',9,'Divorced','Machine-op-inspct','Not-in-family','White','Male',0,0,45,'United-States','<=50K'
36,'Local-gov',298717,'HS-grad',9,'Married-civ-spouse','Exec-managerial','Husband','White','Male',0,0,40,'United-States','<=50K'
37,'Private',360743,'Some-college',10,'Married-civ-spouse','Craft-repair','Husband','Black','Male',0,0,40,'United-States','<=50K'
22,'Private',48988,'Some-college',10,'Never-married','Transport-moving','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
49,'Local-gov',199378,'HS-grad',9,'Married-civ-spouse','Protective-serv','Husband','White','Male',0,0,40,'United-States','<=50K'
25,'Private',220098,'HS-grad',9,'Never-married','Other-service','Own-child','White','Male',0,0,30,'United-States','<=50K'
19,'Private',121788,'Some-college',10,'Never-married','Sales','Not-in-family','White','Female',0,0,30,'United-States','<=50K'
57,'Local-gov',148509,'Bachelors',13,'Married-civ-spouse','Prof-specialty','Husband','Asian-Pac-Islander','Male',0,0,35,'India','<=50K'
53,'Local-gov',204397,'HS-grad',9,'Married-civ-spouse','Exec-managerial','Husband','White','Male',0,0,60,'United-States','<=50K'
33,'Private',214635,'HS-grad',9,'Married-civ-spouse','Exec-managerial','Husband','Black','Male',0,0,50,'United-States','<=50K'
65,'Self-emp-not-inc',225473,'Some-college',10,'Widowed','Craft-repair','Not-in-family','White','Female',0,0,35,'United-States','<=50K'
33,'Private',268451,'Some-college',10,'Divorced','Exec-managerial','Unmarried','White','Female',0,0,40,'United-States','<=50K'
53,'Self-emp-not-inc',152810,'10th',6,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
60,'Private',226949,'HS-grad',9,'Divorced','Adm-clerical','Unmarried','White','Female',0,0,37,'United-States','<=50K'
24,'Private',161198,'Bachelors',13,'Never-married','Prof-specialty','Not-in-family','White','Male',0,0,25,'United-States','<=50K'
23,'Private',180060,'Bachelors',13,'Never-married','Machine-op-inspct','Own-child','White','Male',0,0,50,'United-States','<=50K'
46,'Private',173613,'HS-grad',9,'Divorced','Sales','Unmarried','White','Female',0,0,30,'United-States','<=50K'
32,'Private',198068,'HS-grad',9,'Never-married','Transport-moving','Not-in-family','White','Male',0,0,60,'United-States','<=50K'
27,'Local-gov',113545,'Bachelors',13,'Never-married','Prof-specialty','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
62,'Private',29828,'HS-grad',9,'Married-civ-spouse','Transport-moving','Husband','White','Male',0,0,40,'United-States','<=50K'
74,'Private',204840,'5th-6th',3,'Married-civ-spouse','Prof-specialty','Husband','White','Male',0,0,56,'Mexico','<=50K'
31,'Private',29662,'Some-college',10,'Never-married','Sales','Not-in-family','White','Female',0,0,60,'United-States','<=50K'
20,'Private',250165,'HS-grad',9,'Married-civ-spouse','Sales','Husband','White','Male',0,0,40,'United-States','<=50K'
23,'Private',67958,'Some-college',10,'Never-married','Other-service','Not-in-family','White','Female',0,0,30,'United-States','<=50K'
28,'Private',168524,'Assoc-voc',11,'Married-civ-spouse','Prof-specialty','Own-child','White','Female',0,0,40,'United-States','<=50K'
49,'Private',211005,'Some-college',10,'Married-civ-spouse','Machine-op-inspct','Husband','Black','Male',0,0,60,'United-States','<=50K'
41,'Self-emp-not-inc',26598,'HS-grad',9,'Divorced','Craft-repair','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
29,'Private',178272,'HS-grad',9,'Married-civ-spouse','Protective-serv','Husband','White','Male',0,0,40,'United-States','<=50K'
33,'Private',143582,'HS-grad',9,'Separated','Other-service','Unmarried','Asian-Pac-Islander','Female',0,0,48,'China','<=50K'
51,'Private',162944,'HS-grad',9,'Married-civ-spouse','Craft-repair','Husband','White','Male',0,0,40,'United-States','<=50K'
27,'Private',162343,'Bachelors',13,'Married-civ-spouse','Exec-managerial','Husband','White','Male',0,0,40,'Dominican-Republic','<=50K'
25,'Private',483822,'HS-grad',9,'Never-married','Other-service','Own-child','White','Male',0,0,40,'El-Salvador','<=50K'
39,'State-gov',24721,'Some-college',10,'Divorced','Adm-clerical','Unmarried','White','Female',0,0,35,'United-States','<=50K'
36,'Private',192664,'11th',7,'Never-married','Craft-repair','Own-child','White','Male',0,0,40,'United-States','<=50K'
48,'Private',238726,'HS-grad',9,'Widowed','Adm-clerical','Unmarried','White','Female',0,0,40,'United-States','<=50K'
26,'Private',179633,'HS-grad',9,'Never-married','Tech-support','Other-relative','White','Male',0,0,40,'United-States','<=50K'
52,'Private',155434,'HS-grad',9,'Married-civ-spouse','Exec-managerial','Husband','White','Male',0,0,48,'United-States','<=50K'
48,'Private',34845,'HS-grad',9,'Divorced','Craft-repair','Other-relative','White','Male',0,0,40,'United-States','<=50K'
25,'Private',189219,'Bachelors',13,'Never-married','Sales','Own-child','White','Female',0,0,40,'United-States','<=50K'
19,'Local-gov',354104,'HS-grad',9,'Never-married','Adm-clerical','Own-child','White','Male',0,0,35,'United-States','<=50K'
61,'Private',97030,'Some-college',10,'Divorced','Other-service','Not-in-family','White','Female',0,0,30,'United-States','<=50K'
33,'Private',141229,'Some-college',10,'Divorced','Other-service','Not-in-family','White','Female',0,0,50,'United-States','<=50K'
30,'Private',191571,'HS-grad',9,'Separated','Other-service','Own-child','White','Female',0,0,36,'United-States','<=50K'
36,'Private',127686,'HS-grad',9,'Separated','Adm-clerical','Unmarried','White','Female',0,0,37,'United-States','<=50K'
40,'Private',190122,'Some-college',10,'Separated','Adm-clerical','Not-in-family','White','Female',0,0,40,'United-States','<=50K'
26,'Private',45869,'Bachelors',13,'Never-married','Handlers-cleaners','Own-child','White','Male',0,0,40,'United-States','<=50K'
45,'Private',151627,'Some-college',10,'Divorced','Adm-clerical','Unmarried','White','Female',0,0,45,'United-States','<=50K'
23,'Private',215624,'Some-college',10,'Never-married','Machine-op-inspct','Unmarried','Asian-Pac-Islander','Male',0,0,40,'Vietnam','<=50K'
49,'Private',105444,'12th',8,'Married-civ-spouse','Machine-op-inspct','Husband','White','Male',0,0,39,'United-States','<=50K'
58,'Private',218281,'Bachelors',13,'Married-civ-spouse','Adm-clerical','Husband','White','Male',0,0,40,'Mexico','<=50K'
21,'Private',149809,'Assoc-acdm',12,'Never-married','Sales','Own-child','White','Male',0,0,40,'United-States','<=50K'
31,'Private',109020,'Bachelors',13,'Never-married','Prof-specialty','Unmarried','Other','Male',0,0,40,'United-States','<=50K'
24,'Private',127139,'Some-college',10,'Never-married','Adm-clerical','Own-child','White','Female',0,0,40,'United-States','<=50K'
28,'Private',193158,'HS-grad',9,'Divorced','Sales','Own-child','White','Female',0,0,40,'United-States','<=50K'
49,'Private',259323,'HS-grad',9,'Divorced','Craft-repair','Unmarried','White','Male',0,0,40,'United-States','<=50K'
20,'Private',201766,'Some-college',10,'Never-married','Prof-specialty','Own-child','White','Female',0,0,35,'United-States','<=50K'
40,'Self-emp-not-inc',29036,'Some-college',10,'Never-married','Machine-op-inspct','Not-in-family','White','Male',0,0,35,'United-States','<=50K'
44,'Private',123572,'9th',5,'Married-civ-spouse','Machine-op-inspct','Husband','Black','Male',0,0,40,'United-States','<=50K'
46,'Private',163229,'7th-8th',4,'Married-civ-spouse','Transport-moving','Husband','White','Male',0,0,40,'United-States','<=50K'
29,'State-gov',382272,'Bachelors',13,'Never-married','Craft-repair','Not-in-family','White','Male',0,0,40,'United-States','<=50K'
